code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
1,Ha Noi,686,40,55,1,584
26,Vinh Phuc,162,14,8,1,139
27,Bac Ninh,140,12,..,1,126
22,Quang Ninh,218,20,10,1,186
30,Hai Duong,292,20,5,1,265
31,Hai Phong,251,24,2,1,224
33,Hung Yen,179,17,..,..,162
34,Thai Binh,308,20,..,1,286
35,Ha Nam,131,12,2,..,116
36,Nam Dinh,249,19,..,1,229
37,Ninh Binh,171,13,12,1,145
2,Ha Giang,212,15,19,1,177
4,Cao Bang,234,17,18,..,199
6,Bac Kan,133,9,2,..,122
8,Tuyen Quang,168,14,12,1,141
10,Lao Cai,213,12,36,1,164
15,Yen Bai,215,15,20,..,180
19,Thai Nguyen,209,14,13,1,180
20,Lang Son,266,14,25,1,226
24,Bac Giang,250,16,3,1,230
25,Phu Tho,294,16,..,1,277
11,Dien Bien,161,14,17,..,130
12,Lai Chau,134,11,15,..,108
14,Son La,236,16,14,1,204
17,Hoa Binh,245,14,21,..,210
38,Thanh Hoa,687,37,12,1,637
40,Nghe An,531,28,22,1,480
42,Ha Tinh,285,17,5,1,262
44,Quang Binh,174,8,7,..,159
45,Quang Tri,160,11,7,1,141
46,Thua Thien Hue,179,17,8,1,152
48,Da Nang,71,13,..,1,56
49,Quang Nam,282,26,11,..,244
51,Quang Ngai,205,18,4,..,183
52,Binh Dinh,182,17,5,1,159
54,Phu Yen,126,13,..,1,112
56,Khanh Hoa,166,13,14,1,137
58,Ninh Thuan,82,7,8,1,65
60,Binh Thuan,150,12,10,..,127
62,Kon Tum,129,12,14,1,102
64,Gia Lai,257,21,14,..,222
66,Dak Lak,206,20,1,..,184
67,Dak Nong,80,8,..,..,71
68,Lam Dong,187,14,23,1,147
70,Binh Phuoc,128,12,4,..,111
72,Tay Ninh,110,12,2,1,95
74,Binh Duong,118,8,17,1,91
75,Dong Nai,196,16,8,..,171
77,Ba Ria - Vung Tau,100,12,6,..,82
79,Ho Chi Minh,379,52,3,1,322
80,Long An,213,17,4,..,192
82,Tien Giang,203,11,19,..,173
83,Ben Tre,185,12,9,..,164
84,Tra Vinh,120,12,15,..,93
86,Vinh Long,121,10,2,..,109
87,Dong Thap,170,16,9,1,144
89,An Giang,182,15,11,..,156
91,Kien Giang,158,13,14,..,131
92,Can Tho,102,16,..,..,85
93,Hau Giang,90,8,8,..,74
94,Soc Trang,122,11,2,..,109
95,Bac Lieu,74,7,2,..,64
96,Ca Mau,118,14,9,1,94
