code,name,region
1,Ha Noi,Dong bang song Hong
26,Vinh Phuc,Dong bang song Hong
27,Bac Ninh,Dong bang song Hong
22,Quang Ninh,Dong bang song Hong
30,Hai Duong,Dong bang song Hong
31,Hai Phuong,Dong bang song Hong
33,Hung Yen,Dong bang song Hong
34,Thai Binh,Dong bang song Hong
35,Ha Nam,Dong bang song Hong
36,Nam Dinh,Dong bang song Hong
37,Ninh Binh,Dong bang song Hong
2,Ha Giang,Trung du va mien nui phia Bac
4,Cao Bang,Trung du va mien nui phia Bac
6,Bac Kan,Trung du va mien nui phia Bac
8,Tuyen Quang,Trung du va mien nui phia Bac
10,Lao Cai,Trung du va mien nui phia Bac
15,Yen Bai,Trung du va mien nui phia Bac
19,Thai Nguyen,Trung du va mien nui phia Bac
20,Lang Son,Trung du va mien nui phia Bac
24,Bac Giang,Trung du va mien nui phia Bac
25,Phu Tho,Trung du va mien nui phia Bac
11,Dien Bien,Trung du va mien nui phia Bac
12,Lai Chau,Trung du va mien nui phia Bac
14,Son La,Trung du va mien nui phia Bac
17,Hoa Binh,Trung du va mien nui phia Bac
38,Thanh Hoa,Bac Trung Bo va Duyen hai mien Trung
40,Nghe An,Bac Trung Bo va Duyen hai mien Trung
42,Ha Tinh,Bac Trung Bo va Duyen hai mien Trung
44,Quang Binh,Bac Trung Bo va Duyen hai mien Trung
45,Quang Tri,Bac Trung Bo va Duyen hai mien Trung
46,Thua Thien Hue,Bac Trung Bo va Duyen hai mien Trung
48,Da Nang,Bac Trung Bo va Duyen hai mien Trung
49,Quang Nam,Bac Trung Bo va Duyen hai mien Trung
51,Quang Ngai,Bac Trung Bo va Duyen hai mien Trung
52,Binh Dinh,Bac Trung Bo va Duyen hai mien Trung
54,Phu Yen,Bac Trung Bo va Duyen hai mien Trung
56,Khanh Hoa,Bac Trung Bo va Duyen hai mien Trung
58,Ninh Thuan,Bac Trung Bo va Duyen hai mien Trung
60,Binh Thuan,Bac Trung Bo va Duyen hai mien Trung
62,Kon Tum,Tay Nguyen
64,Gia Lai,Tay Nguyen
66,Dak Lak,Tay Nguyen
67,Dak Nong,Tay Nguyen
68,Lam Dong,Tay Nguyen
70,Binh Phuoc,Dong Nam Bo
72,Tay Ninh,Dong Nam Bo
74,Binh Duong,Dong Nam Bo
75,Dong Nai,Dong Nam Bo
77,Ba Ria - Vung Tau,Dong Nam Bo
79,Ho Chi Minh,Dong Nam Bo
80,Long An,Dong bang song Cuu Long
82,Tien Giang,Dong bang song Cuu Long
83,Ben Tre,Dong bang song Cuu Long
84,Tra Vinh,Dong bang song Cuu Long
86,Vinh Long,Dong bang song Cuu Long
87,Dong Thap,Dong bang song Cuu Long
89,An Giang,Dong bang song Cuu Long
91,Kien Giang,Dong bang song Cuu Long
92,Can Tho,Dong bang song Cuu Long
93,Hau Giang,Dong bang song Cuu Long
94,Soc Trang,Dong bang song Cuu Long
95,Bac Lieu,Dong bang song Cuu Long
96,Ca Mau,Dong bang song Cuu Long
